Image,x0,y0,x1,y1
0000e88ab.jpg,223.0,149.0,860.0,438.0
0001f9222.jpg,1.0,77.0,744.0,243.0
00029d126.jpg,26.0,19.0,1027.0,464.0
00050a15a.jpg,17.0,153.0,1012.0,413.0
0005c1ef8.jpg,72.0,186.0,879.0,310.0
0006e997e.jpg,8.0,7.0,957.0,248.0
000a6daec.jpg,37.0,0.0,1031.0,444.0
000f0f2bf.jpg,49.0,158.0,966.0,465.0
0016b897a.jpg,22.0,58.0,1048.0,373.0
001c1ac5f.jpg,10.0,106.0,956.0,437.0
001cae55b.jpg,6.0,15.0,1020.0,446.0
001d7450c.jpg,0.0,190.0,1030.0,454.0
00200e115.jpg,223.0,7.0,974.0,396.0
00245a598.jpg,11.0,77.0,1003.0,316.0
002b4615d.jpg,27.0,57.0,1014.0,426.0
002f99f01.jpg,15.0,0.0,848.0,417.0
00355ff28.jpg,16.0,9.0,1050.0,270.0
00357e37a.jpg,3.0,0.0,1050.0,347.0
003795857.jpg,9.0,3.0,1050.0,318.0
0041880bf.jpg,1.0,71.0,647.0,293.0
0043da555.jpg,47.0,221.0,964.0,555.0
00442c882.jpg,64.0,65.0,822.0,457.0
00464ff65.jpg,24.0,238.0,1008.0,603.0
004775679.jpg,19.0,154.0,960.0,367.0
004ae9e26.jpg,1.0,0.0,1033.0,295.0
004c0f43b.jpg,33.0,164.0,988.0,409.0
004e8ad5b.jpg,40.0,116.0,995.0,486.0
004f87702.jpg,8.0,227.0,1018.0,535.0
0050ef29d.jpg,17.0,20.0,1026.0,374.0
00514c876.jpg,0.0,42.0,874.0,313.0
0052ce2f5.jpg,248.0,201.0,831.0,420.0
00537ec91.jpg,298.0,117.0,630.0,280.0
00570db6b.jpg,6.0,156.0,1016.0,416.0
005ce3100.jpg,28.0,128.0,967.0,390.0
00600ce17.jpg,0.0,55.0,923.0,495.0
006017ddf.jpg,24.0,0.0,1045.0,326.0
0060f764a.jpg,21.0,3.0,1048.0,276.0
006500b3d.jpg,4.0,5.0,1022.0,265.0
006506edf.jpg,10.0,1.0,1046.0,392.0
0067b3a20.jpg,125.0,273.0,956.0,533.0
006bdc6ff.jpg,7.0,110.0,1030.0,311.0
00713060e.jpg,22.0,0.0,1031.0,434.0
007218187.jpg,48.0,195.0,836.0,462.0
0073118da.jpg,0.0,68.0,1031.0,319.0
007a7846f.jpg,0.0,23.0,1031.0,393.0
007b62e05.jpg,88.0,290.0,933.0,516.0
007f3eb46.jpg,6.0,20.0,1035.0,370.0
008124524.jpg,27.0,21.0,1040.0,271.0
0084fe40b.jpg,10.0,8.0,632.0,192.0
0085064af.jpg,20.0,15.0,843.0,403.0
0085a6bd0.jpg,81.0,145.0,854.0,419.0
00869b59e.jpg,103.0,37.0,806.0,355.0
008bf89fc.jpg,40.0,183.0,976.0,421.0
008ebc50d.jpg,0.0,54.0,1039.0,370.0
00910010d.jpg,241.0,274.0,590.0,465.0
00917baa4.jpg,19.0,103.0,920.0,365.0
0093454b6.jpg,11.0,38.0,1017.0,285.0
009431af0.jpg,175.0,155.0,698.0,525.0
009589b45.jpg,39.0,97.0,1004.0,337.0
0095fe89c.jpg,28.0,206.0,999.0,461.0
00961802f.jpg,30.0,106.0,629.0,266.0
009687166.jpg,84.0,161.0,1000.0,467.0
0096c8ff3.jpg,11.0,22.0,802.0,287.0
009c45bc7.jpg,82.0,143.0,997.0,474.0
00a3dd76f.jpg,33.0,82.0,1022.0,449.0
00a46c559.jpg,20.0,42.0,958.0,343.0
00a4de95e.jpg,14.0,24.0,1021.0,337.0
00a70e649.jpg,30.0,227.0,856.0,451.0
00a9dc47d.jpg,4.0,4.0,363.0,99.0
00aae723d.jpg,19.0,290.0,1026.0,591.0
00b7ffb8a.jpg,0.0,72.0,1025.0,464.0
00b92e9bf.jpg,28.0,69.0,681.0,305.0
00bc4dade.jpg,50.0,156.0,985.0,411.0
00c59bce9.jpg,0.0,162.0,1025.0,401.0
00caa5c60.jpg,52.0,67.0,920.0,536.0
00cf9982e.jpg,43.0,146.0,1015.0,506.0
00d07df97.jpg,16.0,57.0,1016.0,330.0
00d1615b1.jpg,17.0,165.0,969.0,456.0
00d43f154.jpg,31.0,119.0,995.0,291.0
00d4a4967.jpg,147.0,165.0,940.0,519.0
00d641885.jpg,27.0,28.0,971.0,480.0
00d6cbcbf.jpg,153.0,242.0,929.0,407.0
00d7dc401.jpg,0.0,0.0,1020.0,505.0
00d831b06.jpg,27.0,25.0,971.0,278.0
00d9e8278.jpg,12.0,117.0,845.0,337.0
00dcd026f.jpg,42.0,198.0,1018.0,456.0
00de0f4c8.jpg,127.0,84.0,995.0,403.0
00ded1101.jpg,6.0,146.0,1036.0,436.0
00e059776.jpg,102.0,167.0,855.0,265.0
00e4afee9.jpg,0.0,174.0,1045.0,374.0
00e68dc59.jpg,9.0,211.0,1006.0,432.0
00e9e5122.jpg,27.0,198.0,989.0,372.0
00eaedfab.jpg,19.0,13.0,1028.0,215.0
00ec09075.jpg,11.0,137.0,678.0,307.0
00ec13a19.jpg,180.0,241.0,859.0,573.0
00f0bde81.jpg,34.0,43.0,1050.0,316.0
00f5927ae.jpg,23.0,154.0,857.0,428.0
00f5aba71.jpg,9.0,12.0,1042.0,239.0
00fee3975.jpg,324.0,242.0,743.0,385.0
010262224.jpg,0.0,12.0,1026.0,293.0
01043c88f.jpg,0.0,40.0,1004.0,332.0
01043cc4b.jpg,0.0,75.0,1027.0,450.0
01070510c.jpg,13.0,46.0,887.0,316.0
01078982f.jpg,20.0,118.0,988.0,287.0
0108c3e2b.jpg,16.0,85.0,1021.0,434.0
010a1f0eb.jpg,0.0,171.0,1039.0,416.0
010d37b13.jpg,18.0,38.0,655.0,387.0
011258703.jpg,36.0,253.0,1005.0,523.0
0117ac323.jpg,70.0,223.0,970.0,535.0
0118a64b8.jpg,44.0,160.0,960.0,433.0
01216c238.jpg,92.0,120.0,910.0,485.0
01237f1ce.jpg,37.0,82.0,1037.0,392.0
0124d2989.jpg,61.0,189.0,1021.0,521.0
01324f822.jpg,0.0,48.0,981.0,261.0
0135bf774.jpg,130.0,176.0,682.0,288.0
0138b56d1.jpg,140.0,26.0,856.0,594.0
0139248b7.jpg,34.0,190.0,971.0,466.0
013935e54.jpg,13.0,59.0,1029.0,343.0
01396f4d1.jpg,14.0,194.0,996.0,464.0
01425e516.jpg,138.0,128.0,907.0,440.0
0145d6294.jpg,22.0,15.0,1046.0,289.0
0148ba553.jpg,12.0,4.0,1047.0,301.0
0148dbdd2.jpg,28.0,13.0,1035.0,216.0
014a7cdf0.jpg,15.0,20.0,488.0,217.0
014c052b5.jpg,19.0,22.0,810.0,284.0
014c0deb5.jpg,9.0,14.0,1017.0,632.0
014c130f2.jpg,159.0,100.0,985.0,405.0
0150758c7.jpg,219.0,12.0,879.0,422.0
0150f16ec.jpg,18.0,9.0,1029.0,400.0
015889aa3.jpg,0.0,202.0,1008.0,348.0
01598711e.jpg,31.0,114.0,1050.0,516.0
0159c02d4.jpg,0.0,6.0,1027.0,250.0
015a0c58d.jpg,16.0,19.0,621.0,369.0
015b868a1.jpg,8.0,46.0,551.0,211.0
016173748.jpg,3.0,112.0,1039.0,479.0
0163ab035.jpg,9.0,75.0,1030.0,418.0
0165c60f3.jpg,17.0,9.0,364.0,114.0
016768c94.jpg,50.0,159.0,856.0,368.0
016791b76.jpg,75.0,45.0,928.0,357.0
01699beb5.jpg,22.0,8.0,993.0,151.0
016aa69cf.jpg,21.0,25.0,1018.0,252.0
016ac2f79.jpg,46.0,157.0,990.0,451.0
016af7b1e.jpg,0.0,96.0,955.0,376.0
016dfbd1e.jpg,15.0,68.0,993.0,439.0
016f26c74.jpg,142.0,176.0,903.0,431.0
0172a0826.jpg,14.0,8.0,1009.0,537.0
0172cb96f.jpg,6.0,4.0,870.0,368.0
0173fc207.jpg,60.0,158.0,779.0,468.0
01751644e.jpg,57.0,161.0,980.0,479.0
0175e8d3f.jpg,7.0,47.0,881.0,495.0
01768ab81.jpg,28.0,115.0,539.0,258.0
01793bd75.jpg,16.0,41.0,579.0,183.0
0179e07f2.jpg,122.0,25.0,899.0,595.0
017b7d5e9.jpg,15.0,23.0,1030.0,367.0
017bd9a69.jpg,0.0,41.0,1048.0,527.0
017c8297e.jpg,15.0,136.0,679.0,371.0
017f9cf06.jpg,93.0,222.0,863.0,382.0
018345b71.jpg,30.0,125.0,967.0,555.0
0183ee449.jpg,35.0,136.0,942.0,532.0
0187bfdff.jpg,64.0,136.0,2206.0,503.0
018953e38.jpg,1.0,139.0,1047.0,417.0
018a44909.jpg,0.0,129.0,826.0,367.0
018b81a56.jpg,38.0,161.0,1005.0,468.0
018e22952.jpg,29.0,99.0,822.0,280.0
01917b508.jpg,300.0,142.0,734.0,315.0
01919fc42.jpg,24.0,96.0,1010.0,448.0
0197be7fd.jpg,16.0,91.0,1023.0,438.0
0198f6931.jpg,62.0,0.0,2549.0,268.0
019b53508.jpg,327.0,247.0,733.0,396.0
019e9a958.jpg,22.0,49.0,1025.0,346.0
01aa167a0.jpg,18.0,13.0,947.0,433.0
01af1e5f9.jpg,33.0,3.0,1007.0,390.0
01affda48.jpg,0.0,0.0,1016.0,291.0
01b7e3f36.jpg,0.0,151.0,1016.0,393.0
01bf61268.jpg,9.0,45.0,1015.0,316.0
01bfc5ce9.jpg,57.0,42.0,978.0,541.0
01c26d722.jpg,4.0,73.0,1037.0,361.0
01c3bf950.jpg,6.0,48.0,1027.0,327.0
01c602e06.jpg,11.0,93.0,1020.0,388.0
01c75e4c0.jpg,0.0,19.0,775.0,588.0
01c941173.jpg,15.0,102.0,821.0,348.0
01c98f7c1.jpg,6.0,105.0,1027.0,386.0
01c9fe65c.jpg,9.0,195.0,852.0,382.0
01cd70a58.jpg,17.0,91.0,673.0,277.0
01cd7a357.jpg,13.0,151.0,1063.0,427.0
01cea07ff.jpg,6.0,115.0,986.0,500.0
01d122634.jpg,28.0,5.0,1720.0,275.0
01d89cbcf.jpg,67.0,113.0,615.0,263.0
01d8fc465.jpg,14.0,0.0,441.0,199.0
01dc06663.jpg,209.0,233.0,497.0,350.0
01dcb420f.jpg,0.0,111.0,1032.0,464.0
01dea185c.jpg,5.0,6.0,960.0,266.0
01dfca144.jpg,113.0,41.0,2534.0,376.0
01e2ca8ba.jpg,50.0,65.0,981.0,392.0
01e44668c.jpg,31.0,196.0,1004.0,369.0
01e4842aa.jpg,20.0,107.0,1044.0,375.0
01e58e831.jpg,61.0,243.0,942.0,399.0
01e878aad.jpg,30.0,204.0,959.0,378.0
01ec3759e.jpg,65.0,209.0,1017.0,445.0
01eee7676.jpg,83.0,193.0,1046.0,522.0
01f58bda4.jpg,7.0,106.0,1018.0,327.0
01f5b5205.jpg,5.0,3.0,1047.0,244.0
01f66ca26.jpg,62.0,138.0,921.0,440.0
01f6f8d04.jpg,10.0,13.0,1042.0,406.0
01f84aa6f.jpg,43.0,84.0,990.0,289.0
0202d2a08.jpg,70.0,100.0,938.0,342.0
0202dfb29.jpg,22.0,3.0,464.0,238.0
0206722e5.jpg,27.0,17.0,859.0,396.0
020ab0f9b.jpg,157.0,155.0,844.0,331.0
02156d140.jpg,29.0,241.0,1017.0,528.0
0215715b6.jpg,19.0,199.0,1033.0,423.0
021a49e25.jpg,97.0,223.0,741.0,441.0
021cf0d46.jpg,85.0,132.0,916.0,501.0
021d8cc07.jpg,52.0,91.0,426.0,179.0
0222d7746.jpg,0.0,4.0,1020.0,328.0
0223b6a5c.jpg,85.0,51.0,2641.0,450.0
022462179.jpg,48.0,139.0,1016.0,521.0
0225391f4.jpg,8.0,25.0,1038.0,330.0
02270be38.jpg,14.0,38.0,1043.0,259.0
02272f684.jpg,96.0,150.0,958.0,487.0
0227a97f7.jpg,200.0,37.0,744.0,534.0
022b803eb.jpg,3.0,130.0,1031.0,497.0
023349526.jpg,19.0,0.0,1020.0,182.0
0234be323.jpg,14.0,15.0,919.0,266.0
023b99fbe.jpg,22.0,19.0,625.0,229.0
023c3947f.jpg,22.0,149.0,1025.0,531.0
023dc5c36.jpg,14.0,0.0,1049.0,374.0
023f72c08.jpg,106.0,164.0,930.0,441.0
0242534d4.jpg,27.0,7.0,1050.0,437.0
024a7136d.jpg,18.0,132.0,1023.0,422.0
02518df7d.jpg,13.0,65.0,656.0,252.0
0253d946f.jpg,11.0,34.0,1017.0,370.0
025407c89.jpg,94.0,205.0,880.0,413.0
02545618c.jpg,18.0,10.0,1024.0,250.0
02564ae05.jpg,49.0,132.0,1027.0,519.0
02568e465.jpg,82.0,256.0,995.0,547.0
025738f80.jpg,19.0,7.0,1033.0,269.0
02583af93.jpg,26.0,171.0,1023.0,410.0
0258983a9.jpg,47.0,164.0,1006.0,459.0
025c1eb28.jpg,11.0,22.0,1030.0,316.0
025d86fa4.jpg,58.0,144.0,1011.0,460.0
025ea05b4.jpg,63.0,251.0,965.0,499.0
0260984e4.jpg,25.0,104.0,1046.0,313.0
026345181.jpg,17.0,197.0,1021.0,447.0
0264bd4b5.jpg,27.0,116.0,773.0,559.0
0268c74a5.jpg,41.0,28.0,896.0,470.0
026cf2c73.jpg,46.0,208.0,990.0,464.0
0270cd806.jpg,50.0,218.0,1688.0,557.0
02773908c.jpg,1.0,99.0,682.0,295.0
027988cef.jpg,21.0,2.0,907.0,185.0
027af9390.jpg,53.0,218.0,1723.0,443.0
027ec5a1d.jpg,0.0,146.0,1047.0,392.0
027f1594f.jpg,19.0,89.0,753.0,259.0
02810b9d1.jpg,88.0,120.0,948.0,629.0
028331a47.jpg,39.0,42.0,997.0,212.0
028bbb7af.jpg,22.0,17.0,995.0,342.0
028c4bfde.jpg,7.0,2.0,246.0,131.0
028e0f415.jpg,12.0,250.0,1012.0,557.0
028e9f24d.jpg,20.0,74.0,1033.0,357.0
028f11c08.jpg,95.0,254.0,988.0,501.0
028f7081a.jpg,61.0,151.0,1030.0,425.0
02909535e.jpg,0.0,50.0,1047.0,348.0
02910a130.jpg,45.0,119.0,996.0,325.0
029449f85.jpg,44.0,161.0,1033.0,547.0
02a34f2bd.jpg,26.0,6.0,1047.0,334.0
02a5af887.jpg,43.0,153.0,970.0,426.0
02a7e1f6c.jpg,119.0,63.0,951.0,392.0
02af3a9d9.jpg,202.0,114.0,791.0,406.0
02b0efd14.jpg,2.0,137.0,836.0,419.0
02b19e5f2.jpg,34.0,65.0,1002.0,363.0
02b2550cb.jpg,16.0,12.0,1032.0,177.0
02b32cd35.jpg,2.0,39.0,679.0,234.0
02b4351c8.jpg,12.0,0.0,1050.0,328.0
02bce1dd2.jpg,23.0,6.0,1042.0,393.0
02bceb4f3.jpg,13.0,19.0,869.0,373.0
02bdec750.jpg,31.0,148.0,1030.0,376.0
02be719b7.jpg,15.0,27.0,1027.0,282.0
02beb151f.jpg,69.0,55.0,318.0,113.0
02c0b227e.jpg,17.0,10.0,1041.0,364.0
02c389bcb.jpg,78.0,292.0,960.0,513.0
02c47bf28.jpg,17.0,122.0,1020.0,400.0
02c8a71de.jpg,19.0,81.0,1034.0,463.0
02ca9b585.jpg,4.0,24.0,943.0,536.0
02d191488.jpg,47.0,64.0,1000.0,407.0
02d2a38ed.jpg,3.0,4.0,1034.0,340.0
02d30c6e4.jpg,6.0,46.0,680.0,301.0
02d6d1623.jpg,18.0,6.0,1030.0,273.0
02d79a2aa.jpg,28.0,24.0,1035.0,277.0
02d8c4c99.jpg,15.0,72.0,602.0,217.0
02dc197e1.jpg,0.0,178.0,1046.0,575.0
02deeee20.jpg,253.0,256.0,777.0,423.0
02df5693e.jpg,0.0,192.0,1050.0,388.0
02dfe3c04.jpg,33.0,312.0,1039.0,632.0
02e548fa4.jpg,114.0,136.0,975.0,520.0
02e5c6e80.jpg,0.0,0.0,1033.0,365.0
02e7b200c.jpg,1.0,0.0,1028.0,274.0
02ec01c0d.jpg,35.0,21.0,838.0,510.0
02f250971.jpg,6.0,241.0,1007.0,400.0
02f402c31.jpg,70.0,82.0,1041.0,373.0
02fa23b44.jpg,0.0,74.0,1027.0,351.0
02fafd711.jpg,33.0,118.0,1003.0,572.0
02fc410b6.jpg,8.0,165.0,977.0,328.0
02fcd7f7c.jpg,10.0,6.0,1042.0,409.0
02fd77da4.jpg,315.0,255.0,902.0,442.0
02fe15b8b.jpg,5.0,71.0,864.0,293.0
02fec85d6.jpg,4.0,9.0,472.0,111.0
0301ca72f.jpg,18.0,79.0,1693.0,459.0
0304d1ea3.jpg,0.0,23.0,1046.0,489.0
03056d2b8.jpg,20.0,3.0,1030.0,177.0
030628f8b.jpg,26.0,119.0,1011.0,470.0
0317a4ff9.jpg,28.0,42.0,660.0,167.0
03197f2f8.jpg,15.0,10.0,1037.0,309.0
031b230c7.jpg,25.0,144.0,1014.0,608.0
031b653a2.jpg,47.0,12.0,1033.0,356.0
031b6c2c4.jpg,8.0,0.0,1050.0,326.0
031e19510.jpg,0.0,102.0,680.0,292.0
031e2f2e0.jpg,7.0,10.0,1025.0,278.0
031e52425.jpg,38.0,208.0,982.0,572.0
0323e79ed.jpg,7.0,11.0,1035.0,315.0
03282d26c.jpg,27.0,117.0,842.0,404.0
032adbd21.jpg,15.0,210.0,905.0,404.0
032dbd3ae.jpg,24.0,167.0,672.0,287.0
032dce04c.jpg,8.0,43.0,1347.0,330.0
032fac6b9.jpg,12.0,3.0,1036.0,369.0
03325fea5.jpg,25.0,6.0,1050.0,385.0
03339507c.jpg,38.0,185.0,1001.0,515.0
0334cf98b.jpg,7.0,26.0,604.0,338.0
033734195.jpg,0.0,266.0,1018.0,539.0
0338c2abc.jpg,10.0,163.0,993.0,371.0
03398a6cc.jpg,130.0,62.0,965.0,650.0
033cf66cb.jpg,22.0,180.0,1019.0,422.0
034176bf3.jpg,15.0,70.0,1025.0,349.0
0341a18ba.jpg,45.0,278.0,1015.0,596.0
0346bbbe9.jpg,6.0,19.0,775.0,312.0
03471c92a.jpg,19.0,213.0,986.0,481.0
0347973a7.jpg,131.0,115.0,938.0,511.0
034b31ef4.jpg,7.0,18.0,1021.0,341.0
034e5fe12.jpg,16.0,91.0,1029.0,379.0
035159746.jpg,25.0,8.0,1034.0,404.0
035558cb4.jpg,137.0,5.0,958.0,542.0
03563996a.jpg,21.0,26.0,1021.0,351.0
0356860be.jpg,52.0,2.0,966.0,252.0
035917e70.jpg,11.0,156.0,866.0,343.0
035b5bdb8.jpg,37.0,274.0,960.0,457.0
035cc12f2.jpg,49.0,200.0,1020.0,504.0
035ce8d51.jpg,43.0,147.0,1449.0,431.0
035d683ef.jpg,139.0,137.0,715.0,317.0
036ff6457.jpg,73.0,107.0,914.0,455.0
0370090ac.jpg,0.0,90.0,1018.0,308.0
03736acc1.jpg,89.0,185.0,917.0,555.0
03776d685.jpg,256.0,294.0,680.0,400.0
0378f59b5.jpg,129.0,201.0,892.0,410.0
037ce9282.jpg,25.0,54.0,916.0,353.0
037d3d4f7.jpg,30.0,192.0,967.0,421.0
037efd0e5.jpg,5.0,93.0,1049.0,406.0
0385abcf6.jpg,6.0,77.0,506.0,228.0
0387e6dd7.jpg,102.0,168.0,987.0,529.0
038b08ba9.jpg,50.0,25.0,889.0,475.0
038b50a77.jpg,42.0,174.0,1010.0,394.0
038b5f3f3.jpg,60.0,271.0,965.0,416.0
038c165c5.jpg,20.0,103.0,684.0,344.0
038e52f8d.jpg,63.0,172.0,882.0,402.0
038f6e50f.jpg,7.0,103.0,979.0,514.0
038ffb4ad.jpg,5.0,14.0,695.0,398.0
03908edc8.jpg,17.0,27.0,1032.0,281.0
0392690b8.jpg,42.0,58.0,996.0,574.0
039533860.jpg,40.0,117.0,1042.0,470.0
039739a4b.jpg,23.0,65.0,953.0,461.0
03976ceda.jpg,6.0,127.0,841.0,335.0
039916998.jpg,24.0,36.0,978.0,491.0
039bcc0f7.jpg,6.0,7.0,1032.0,435.0
039fcf391.jpg,20.0,329.0,1005.0,543.0
03a224d12.jpg,247.0,193.0,775.0,348.0
03a40c773.jpg,36.0,186.0,1021.0,405.0
03a5587fe.jpg,42.0,62.0,966.0,540.0
03acedeac.jpg,13.0,39.0,611.0,166.0
03b0bd5dd.jpg,93.0,90.0,886.0,465.0
03b6593e9.jpg,52.0,119.0,918.0,329.0
03b7870be.jpg,14.0,146.0,668.0,293.0
03b82f755.jpg,19.0,1.0,1039.0,396.0
03b9e3dea.jpg,59.0,107.0,1017.0,421.0
03bb5b068.jpg,126.0,66.0,758.0,269.0
03bb68e77.jpg,13.0,122.0,1037.0,469.0
03be3723c.jpg,19.0,46.0,1029.0,378.0
03bfcbcf4.jpg,32.0,167.0,959.0,482.0
03c70fa51.jpg,28.0,62.0,1011.0,416.0
03c7a583e.jpg,2.0,3.0,1031.0,225.0
03cd2ba51.jpg,106.0,192.0,897.0,409.0
03d0be3ab.jpg,185.0,120.0,877.0,427.0
03d41255d.jpg,25.0,189.0,1008.0,441.0
03d494223.jpg,23.0,1.0,1011.0,428.0
03d6acf15.jpg,76.0,133.0,956.0,523.0
03dcf5c8e.jpg,29.0,135.0,678.0,379.0
03e23d88f.jpg,10.0,200.0,1700.0,442.0
03e3599f3.jpg,0.0,69.0,1050.0,455.0
03e562e8f.jpg,6.0,162.0,849.0,360.0
03ef29298.jpg,45.0,144.0,981.0,573.0
03ef35d6e.jpg,15.0,265.0,1021.0,557.0
03efb0fdb.jpg,0.0,0.0,622.0,222.0
03f0758d8.jpg,6.0,99.0,532.0,198.0
03f1f348e.jpg,8.0,153.0,1038.0,455.0
03f4675ff.jpg,35.0,187.0,952.0,456.0
03f49a3b3.jpg,67.0,247.0,857.0,377.0
03fa69c40.jpg,29.0,89.0,659.0,338.0
040270cba.jpg,33.0,156.0,1018.0,628.0
0402f7a49.jpg,28.0,38.0,1002.0,324.0
